,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,training_time
Linear Regression,4.884981308350689e-15,18.569517900243163,7.215595591812694e-15,28.498798852655533,1.0,-3.398094960527727,0.20661354064941406
Ridge Regression,0.6638923112814332,12.788644470751166,0.7829997532811326,19.858590886444862,0.9916710525848329,-1.1355431335479649,0.21561050415039062
Lasso Regression,0.1472787184653832,7.058046570989994,0.180633261225501,9.32922290622212,0.9995567361486093,0.5286945846535407,0.046187400817871094
Decision Tree,0.0,7.0,0.0,8.812869377601524,1.0,0.5794223826714802,0.08562731742858887
Random Forest,1.7549999999999994,6.536666666666666,1.9376016102388023,6.658340634121988,0.9489969857779664,0.7599268953068592,0.11620879173278809
Gradient Boosting,0.00022812033511465657,4.71933670903778,0.0002652370211283691,5.647889672713276,0.9999999990442702,0.8272635861634949,0.12181258201599121
XGBoost,0.0003905296325683594,3.3344523906707764,0.0005479354852555739,4.083325574179822,1.0,0.9097100496292114,2.4899744987487793
LightGBM,7.90625,14.291666666666666,8.57959060794861,14.437184339983563,0.0,-0.12869472021660644,4.801710605621338
K-Neighbors,5.725000000000001,11.866666666666667,6.544081295338561,11.87827147918978,0.41821269369560576,0.23595667870036097,0.2827932834625244
